biobank_id,name,full_name,url,organization,country,sample_types,conditions,total_samples,autism_samples,adhd_samples,brain_regions,access_type,application_url,typical_turnaround,contact_email,description,notes
AUTISM_BRAINNET,Autism BrainNet,Autism BrainNet Brain Tissue Repository,https://www.autismbrainnet.org,Autism Speaks,USA,"brain_tissue, frozen_tissue, fixed_tissue, rna","autism, control",3000,1800,0,"prefrontal cortex, anterior cingulate, temporal cortex, cerebellum, hippocampus, amygdala, striatum",controlled,https://www.autismbrainnet.org/resources/request-tissue/,8-12 weeks,abn@psych.uic.edu,Premier autism brain tissue repository with comprehensive clinical characterization,Gold standard for autism brain tissue. Excellent clinical documentation. Prioritizes innovative research.
NIH_NEUROBIOBANK,NIH NeuroBioBank,NIH NeuroBioBank Brain and Tissue Repository,https://neurobiobank.nih.gov,NIH,USA,"brain_tissue, frozen_tissue, fixed_tissue, spinal_cord, csf","autism, adhd, control, psychiatric, neurological",12000,450,280,"All major regions, prefrontal cortex, striatum, cerebellum, hippocampus, substantia nigra, multiple regions",controlled,https://neurobiobank.nih.gov/researchers/,6-8 weeks,nbbinfo@nih.gov,Large multi-disorder brain repository with autism and ADHD samples,Broader than autism-specific. Free tissue for NIH-funded researchers. Searchable online catalog.
UK_BRAIN_BANKS,UK Brain Banks Network,UK Brain Banks Network for Mental Health and Neurological Disorders,https://www.mrc.ac.uk/research/facilities-and-resources-for-researchers/brain-banks/,MRC UK,UK,"brain_tissue, frozen_tissue, fixed_tissue","autism, adhd, psychiatric, neurological, control",8000,200,50,"Multiple regions, prefrontal cortex, temporal lobe, cerebellum",collaboration_only,https://www.mrc.ac.uk/research/facilities-and-resources-for-researchers/brain-banks/,12-16 weeks,brainbanks@mrc.ac.uk,Network of UK brain banks with psychiatric and neurological samples,"Requires UK collaboration. Multiple sites (Edinburgh, London, Manchester, Oxford)."
HARVARD_BRAIN_BANK,Harvard Brain Bank,Harvard Brain Tissue Resource Center,https://hbtrc.mclean.harvard.edu,Harvard Medical School,USA,"brain_tissue, frozen_tissue, fixed_tissue","psychiatric, neurological, autism, control",6000,120,0,"prefrontal cortex, temporal cortex, cerebellum, multiple regions",controlled,https://hbtrc.mclean.harvard.edu/request.html,8-10 weeks,btrc@mclean.harvard.edu,Long-established brain bank with psychiatric disorders focus,Nominal fee for tissue. Excellent clinical documentation.
NIMH_BRAIN_COLLECTION,NIMH Brain Collection,NIMH Human Brain Collection Core,https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/research-support-services/hbcc,NIMH,USA,"brain_tissue, frozen_tissue","psychiatric, autism, control",1500,80,0,"prefrontal cortex, anterior cingulate, hippocampus, amygdala",controlled,https://www.nimh.nih.gov/research/research-conducted-at-nimh/research-areas/research-support-services/hbcc,10-12 weeks,hbcc@mail.nih.gov,NIMH psychiatric brain collection with high-quality RNA preservation,Focus on psychiatric disorders. High RNA quality standards.
AGRE_BIOBANK,AGRE Biobank,Autism Genetic Resource Exchange Biobank,https://research.agre.org,Autism Speaks,USA,"dna, cell_lines, lymphoblastoid_cell_lines","autism, family_members",9000,3500,0,,controlled,https://research.agre.org/program/biorepository/,6-8 weeks,agre@autismspeaks.org,DNA and cell lines from multiplex autism families,Historic collection. Linked to phenotype data in NDAR. Nominal fee.
SPARK_BIOBANK,SPARK Biobank,SPARK Simons Foundation Biobank,https://sparkforautism.org,Simons Foundation,USA,"dna, saliva","autism, family_members",100000,50000,0,,controlled,https://www.sfari.org/resource/sfari-base/,8-12 weeks,spark@simonsfoundation.org,Largest autism genetic biobank with WES data,Rapidly growing. WES for all samples. Data via SFARI Base.
NIMH_REPOSITORY,NIMH Repository,NIMH Repository and Genomics Resource,https://www.nimhgenetics.org,NIMH / Rutgers,USA,"dna, cell_lines, plasma, serum","autism, adhd, psychiatric, control",250000,12000,8000,,controlled,https://www.nimhgenetics.org/resources/request-biosamples,4-6 weeks,nimhgenetics@rutgers.edu,Major psychiatric biomaterial repository with autism and ADHD samples,Free for NIH-funded research. Fast turnaround. Searchable catalog.
IPSYCH_BIOBANK,iPSYCH Biobank,Integrative Psychiatric Research Biobank,https://ipsych.dk,iPSYCH Denmark,Denmark,"dna, plasma, dried_blood_spots","autism, adhd, psychiatric, control",150000,18000,20000,,collaboration_only,https://ipsych.dk/en/data-access/,16-24 weeks,ipsych@econ.au.dk,Danish neonatal screening biobank with WGS and registry linkage,Exceptional register linkage. WGS available. Requires Danish collaboration.
CORIEL,Coriell,Coriell Institute Biorepository,https://www.coriell.org,Coriell Institute,USA,"cell_lines, dna, lymphoblastoid_cell_lines, ipsc","autism, control, various",500000,2500,200,,open,https://www.coriell.org/1/Online-Ordering,1-2 weeks,ccr@coriell.org,Commercial biorepository with autism cell lines from research studies,"Fast commercial access. Includes AGRE, SSC samples. Fee-based."
IPSYC_LINES,iPSC Lines,Autism iPSC Repository,Various,Multiple,USA,"ipsc, induced_pluripotent_stem_cells","autism, syndromic_autism, control",500,300,20,,controlled,Various,8-12 weeks,,iPSC lines from autism patients for neuronal differentiation,"Growing resource. From labs of Geschwind, Pasca, others. Check StemBANCC, CIRM."
UK_BIOBANK_SAMPLES,UK Biobank Samples,UK Biobank Biological Samples,https://www.ukbiobank.ac.uk,UK Biobank,UK,"dna, plasma, serum, urine, saliva","autism, adhd, various, control",1000000,2000,4000,,controlled,https://www.ukbiobank.ac.uk/enable-your-research/apply-for-access,"3-4 weeks for data, 12-16 weeks for samples",access@ukbiobank.ac.uk,Massive biobank with autism/ADHD cases and multi-omics,Sample access more restricted than data access. Fee for samples.
ABCD_BIOBANK,ABCD Biobank,ABCD Study Biorepository,https://abcdstudy.org,NIH,USA,"dna, saliva, blood, hair","adhd, neurodevelopmental, control",24000,300,2000,,controlled,https://nda.nih.gov,12-20 weeks,ndahelp@mail.nih.gov,Longitudinal neurodevelopmental cohort with ADHD biospecimens,Rich longitudinal data. Biospecimen access via NDA. Limited quantities.
