registry_id,name,full_name,url,condition,organization,country,sample_size,active_enrollment,data_types,access_type,application_url,contact_email,description,notes
SPARK,SPARK,Simons Foundation Powering Autism Research,https://sparkforautism.org,autism,Simons Foundation,USA,50000.0,True,"genomics, phenotype, medical_records, family_history",controlled,https://base.sfari.org,spark@simonsfoundation.org,Largest genetic study of autism with DNA sequencing and clinical data from families,Free genetic testing for families. Data available via SFARI Base.
SSC,SSC,Simons Simplex Collection,https://www.sfari.org/resource/simons-simplex-collection/,autism,Simons Foundation,USA,2600.0,False,"genomics, exomes, genotypes, phenotype, medical_records, cognitive",controlled,https://base.sfari.org,sfari@simonsfoundation.org,"Simplex families (one affected child, unaffected parents and siblings) with comprehensive phenotyping",Foundational autism genetics dataset. Available via SFARI Base and dbGaP (phs000473).
AGRE,AGRE,Autism Genetic Resource Exchange,https://research.agre.org,autism,Autism Speaks,USA,1800.0,False,"genomics, genotypes, phenotype, family_history",controlled,https://research.agre.org,agre@autismspeaks.org,Multiplex families with genotype and phenotype data,"Historic dataset, enrollment closed. Data via NDAR and SFARI Base."
IAN,IAN,Interactive Autism Network,https://iancommunity.org,autism,Kennedy Krieger Institute,USA,52000.0,True,"phenotype, medical_records, treatment_history, behavioral",collaboration_only,https://iancommunity.org/cs/ian_research,ianresearch@kennedykrieger.org,Large online registry with longitudinal phenotype and treatment data,"Primarily phenotype data, no biological samples. Research proposals reviewed."
SIMONS_SEARCHLIGHT,Simons Searchlight,Simons Searchlight (formerly SFARI Gene),https://www.simonssearchlight.org,autism,Simons Foundation,USA,3000.0,True,"genomics, phenotype, developmental_history, rare_variants",controlled,https://base.sfari.org,searchlight@simonsfoundation.org,Registry for individuals with genetic changes in autism-associated genes,Focus on rare genetic variants. Free genetic confirmation testing.
EU_AIMS_LEAP,EU-AIMS LEAP,European Autism Interventions - Longitudinal European Autism Project,https://www.eu-aims.eu,autism,EU-AIMS Consortium,Europe,800.0,False,"genomics, imaging, eye_tracking, eeg, phenotype, biomarkers",collaboration_only,https://www.eu-aims.eu/resources/access-data/,info@eu-aims.eu,Deep phenotyping cohort with multi-modal biomarkers,Comprehensive biomarker battery. Data access via collaboration.
ABC_CT,ABC-CT,Autism Biomarkers Consortium for Clinical Trials,https://www.autismbiomarkersconsortium.org,autism,Foundation for NIH,USA,600.0,True,"imaging, eeg, eye_tracking, phenotype, biomarkers",controlled,https://ndar.nih.gov,abc@fnih.org,Developing biomarkers for use in clinical trials,Clinical trial-ready biomarkers. Data to NDAR. NCT04119687.
EAGLE,EAGLE,Exploring Autism Genetics and the Lifelong Experience,https://www.eagleautismgenetics.org,autism,Children's Hospital of Philadelphia,USA,10000.0,True,"genomics, phenotype, longitudinal",controlled,https://www.eagleautismgenetics.org/for-researchers,eagle@chop.edu,Longitudinal genetics study tracking development over time,Longitudinal follow-up focus. Free genetic testing.
APSARD_REGISTRY,APSARD Registry,American Professional Society of ADHD and Related Disorders Registry,https://www.apsard.org,adhd,APSARD,USA,,True,"phenotype, treatment_history, comorbidities",collaboration_only,,info@apsard.org,Clinical registry for ADHD patients in treatment,"Clinical data focus, limited research access information."
CADDRA_REGISTRY,CADDRA,Canadian ADHD Resource Alliance Registry,https://www.caddra.ca,adhd,CADDRA,Canada,,True,"phenotype, treatment_outcomes",collaboration_only,,info@caddra.ca,Canadian ADHD clinical data registry,Clinical practice registry. Contact for research collaborations.
